Select 	CRN 	Subj 	Crse 	Sec 	Cmp 	Cred 	Part of Term 	Title 	Days 	Time 	Cap 	Act 	Rem 	Instructor 	Date (MM/DD) 	Location 	Attribute
SR 	12234 	CSCE 	204 	001 	COL 	3.000 	30 - Columbia Full Term 	Program Design and Development 	MWF 	08:30 am-09:20 am 	49 	17 	32 	TBA 	08/20-12/04 	SWGN 2A31 	 
SR 	13368 	CSCE 	205 	001 	COL 	3.000 	30 - Columbia Full Term 	Business Applications Programming 	MW 	05:30 pm-06:45 pm 	35 	27 	8 	Christine M.G. Brown (P) 	08/20-12/04 	SMWALT 305 	 
SR 	13400 	CSCE 	206 	001 	COL 	3.000 	30 - Columbia Full Term 	Scientific Applications Programming 	MWF 	09:40 am-10:30 am 	66 	43 	23 	Jianjun Hu (P) 	08/20-12/04 	SWGN 2A14 	 
SR 	13414 	CSCE 	210 	001 	COL 	3.000 	30 - Columbia Full Term 	Computer Hardware Foundations 	TR 	10:05 am-11:20 am 	60 	59 	1 	Matt Eric Thatcher (P) 	08/20-12/04 	300MN B213 	 
C 	13450 	CSCE 	211 	001 	COL 	3.000 	30 - Columbia Full Term 	Digital Logic Design 	TR 	10:05 am-11:20 am 	66 	66 	0 	Chin-Tser Huang (P) 	08/20-12/04 	SWGN 2A14 	 
C 	16609 	CSCE 	211 	002 	COL 	3.000 	30 - Columbia Full Term 	Digital Logic Design 	TR 	08:30 am-09:45 am 	49 	49 	0 	TBA 	08/20-12/04 	SWGN 2A31 	 
SR 	17757 	CSCE 	211 	003 	COL 	3.000 	30 - Columbia Full Term 	Digital Logic Design 	TR 	02:50 pm-04:05 pm 	30 	15 	15 	TBA 	08/20-12/04 	SWGN 2A15 	 
SR 	19258 	CSCE 	211 	H01 	COL 	3.000 	30 - Columbia Full Term 	HNRS: Digital Logic Design 	MW 	03:30 pm-04:45 pm 	15 	10 	5 	Manton M. Matthews (P) 	08/20-12/04 	SWGN 2A18 	SC Honors College
SR 	13461 	CSCE 	212 	001 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Architecture 	TR 	01:15 pm-02:30 pm 	66 	58 	8 	Song Wang (P) 	08/20-12/04 	SWGN 2A14 	 
SR 	18000 	CSCE 	212 	002 	COL 	3.000 	30 - Columbia Full Term 	Introduction to Computer Architecture 	MW 	05:50 pm-07:05 pm 	160 	15 	145 	TBA 	08/20-12/04 	SWGN 1C01 	 
C 	15119 	CSCE 	215 	801 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	16 	0 	TBA 	08/20-10/19 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	09:40 am-10:30 am 	  	  	  	TBA 	08/20-10/19 	SWGN 1D39 	 
SR 	15123 	CSCE 	215 	802 	COL 	1.000 	3A - Columbia First Half Term 	UNIX/Linux Fundamentals 	MW 	08:30 am-09:20 am 	16 	15 	1 	TBA 	08/20-10/19 	SWGN 2A14 	 
  	  	  	  	  	  	  	  	  	MF 	10:50 am-11:40 am 	  	  	  	TBA 	08/20-10/19 	SWGN 1D39 	 
